sample	unit	platform	unsort_bam
CGND-HDA-00594	1	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/terra_hg38/bam_hg38/CGND-HDA-00594/CGND-HDA-00594.bam
CGND-HDA-02575	1	ILLUMINA	/pi/michael.lodato-umw/junhui.li11-umw/BautistaSotelo_Cesar/20201130_MosaicVariant_DNA/01Rawdata/terra_hg38/bam_hg38/CGND-HDA-02575/CGND-HDA-02575.bam
